Kruskal 10  74 3573800 ns 90 % 
Kruskal 10  70 2313200 ns 70 % 
Kruskal 10  70 1663500 ns 80 % 
Kruskal 10  73 2503800 ns 60 % 
Kruskal 10  70 1796500 ns 90 % 
Kruskal 10  18 2790000 ns 10 % 
Kruskal 10  70 1826200 ns 70 % 
Kruskal 10  48 1599300 ns 20 % 
Kruskal 10  75 1882900 ns 80 % 
Kruskal 10  68 1848000 ns 90 % 
Kruskal 20  106 65744700 ns 90 % 
Kruskal 20  106 4772700 ns 60 % 
Kruskal 20  88 4497100 ns 40 % 
Kruskal 20  46 10594700 ns 10 % 
Kruskal 20  106 10650100 ns 80 % 
Kruskal 20  96 6468100 ns 50 % 
Kruskal 20  84 7607700 ns 30 % 
Kruskal 20  105 4545700 ns 90 % 
Kruskal 20  113 6746800 ns 70 % 
Kruskal 20  31 4918800 ns 10 % 
Kruskal 30  151 9936500 ns 80 % 
Kruskal 30  150 14595400 ns 90 % 
Kruskal 30  144 9994000 ns 70 % 
Kruskal 30  127 13179900 ns 40 % 
Kruskal 30  104 10498000 ns 20 % 
Kruskal 30  150 24413600 ns 80 % 
Kruskal 30  93 10397800 ns 20 % 
Kruskal 30  151 14482400 ns 90 % 
Kruskal 30  145 24755800 ns 70 % 
Kruskal 30  129 23322800 ns 40 % 
Kruskal 40  125 103387400 ns 20 % 
Kruskal 40  122 38827400 ns 20 % 
Kruskal 40  187 48183500 ns 90 % 
Kruskal 40  177 18141700 ns 60 % 
Kruskal 40  184 24089700 ns 70 % 
Kruskal 40  167 40788500 ns 50 % 
Kruskal 40  122 18039400 ns 20 % 
Kruskal 40  187 26378300 ns 90 % 
Kruskal 40  176 43936200 ns 60 % 
Kruskal 40  158 40854200 ns 40 % 
Kruskal 50  73 124458200 ns 10 % 
Kruskal 50  153 34372900 ns 20 % 
Kruskal 50  231 36468400 ns 90 % 
Kruskal 50  222 51100300 ns 60 % 
Kruskal 50  203 61724100 ns 40 % 
Kruskal 50  73 60694700 ns 10 % 
Kruskal 50  225 36813100 ns 80 % 
Kruskal 50  210 33489400 ns 50 % 
Kruskal 50  193 59837500 ns 30 % 
Kruskal 50  229 56318000 ns 90 % 
Kruskal 100  160 308076800 ns 10 % 
Kruskal 100  300 197017500 ns 20 % 
Kruskal 100  450 99691400 ns 80 % 
Kruskal 100  432 117024600 ns 60 % 
Kruskal 100  441 214737600 ns 70 % 
Kruskal 100  396 225488300 ns 40 % 
Kruskal 100  296 151435300 ns 20 % 
Kruskal 100  450 204283100 ns 80 % 
Kruskal 100  434 195308400 ns 60 % 
Kruskal 100  365 118390800 ns 30 % 
Kruskal 150  625 450187300 ns 50 % 
Kruskal 150  545 429720800 ns 30 % 
Kruskal 150  601 320889600 ns 40 % 
Kruskal 150  245 352012900 ns 10 % 
Kruskal 150  673 380671400 ns 80 % 
Kruskal 150  681 368000200 ns 90 % 
Kruskal 150  649 425368300 ns 60 % 
Kruskal 150  597 304132700 ns 40 % 
Kruskal 150  257 274778100 ns 10 % 
Kruskal 150  453 341398300 ns 20 % 
Kruskal 200  735 556397900 ns 30 % 
Kruskal 200  795 595964800 ns 40 % 
Kruskal 200  335 492627400 ns 10 % 
Kruskal 200  895 585651800 ns 80 % 
Kruskal 200  895 615434300 ns 80 % 
Kruskal 200  863 719855400 ns 60 % 
Kruskal 200  735 542497800 ns 30 % 
Kruskal 200  795 516261300 ns 40 % 
Kruskal 200  595 708473900 ns 20 % 
Kruskal 200  735 737773300 ns 30 % 
Kruskal 250  1105 926559900 ns 70 % 
Kruskal 250  1105 988802700 ns 70 % 
Kruskal 250  1121 1172555200 ns 80 % 
Kruskal 250  1137 778162400 ns 90 % 
Kruskal 250  1085 1143530500 ns 60 % 
Kruskal 250  1105 772121100 ns 70 % 
Kruskal 250  1045 1040663300 ns 50 % 
Kruskal 250  1081 894050800 ns 60 % 
Kruskal 250  913 1253873100 ns 30 % 
Kruskal 250  997 1153685600 ns 40 % 
Kruskal 300  1347 1511703000 ns 80 % 
Kruskal 300  1095 1344902800 ns 30 % 
Kruskal 300  1195 1177438200 ns 40 % 
Kruskal 300  1255 1102641700 ns 50 % 
Kruskal 300  1255 1248171200 ns 50 % 
Kruskal 300  1295 1463078100 ns 60 % 
Kruskal 300  1327 1299845800 ns 70 % 
Kruskal 300  1347 1409224100 ns 80 % 
Kruskal 300  1255 1166598200 ns 50 % 
