Dijkstra 10 735300ns;;;;;;Dijkstra 10 735300ns
Dijkstra 10 804900ns;;;;;;Dijkstra 10 804900ns
Dijkstra 10 550300ns;;;;;;Dijkstra 10 550300ns
Dijkstra 10 557800ns;;;;;;Dijkstra 10 557800ns
Dijkstra 10 930300ns;;;;;;Dijkstra 10 930300ns
Dijkstra 10 532300ns;;;;;;Dijkstra 10 532300ns
Dijkstra 10 488700ns;;;;;;Dijkstra 10 488700ns
Dijkstra 10 584500ns;;;;;;Dijkstra 10 584500ns
Dijkstra 10 641000ns;;;;;;Dijkstra 10 641000ns
Dijkstra 10 594800ns;;;;;;Dijkstra 10 594800ns
Dijkstra 10 758700ns;;;;;;Dijkstra 25 1213100ns
Dijkstra 25 1213100ns;;;;;;Dijkstra 25 598800ns
Dijkstra 25 598800ns;;;;;;Dijkstra 25 781800ns
Dijkstra 25 781800ns;;;;;;Dijkstra 25 726900ns
Dijkstra 25 726900ns;;;;;;Dijkstra 25 593200ns
Dijkstra 25 593200ns;;;;;;Dijkstra 25 598400ns
Dijkstra 25 598400ns;;;;;;Dijkstra 25 781000ns
Dijkstra 25 781000ns;;;;;;Dijkstra 25 674500ns
Dijkstra 25 674500ns;;;;;;Dijkstra 25 698000ns
Dijkstra 25 698000ns;;;;;;Dijkstra 25 574400ns
Dijkstra 25 574400ns;;;;;;Dijkstra 50 1135200ns
Dijkstra 50 1135200ns;;;;;;Dijkstra 50 813300ns
Dijkstra 50 813300ns;;;;;;Dijkstra 50 792900ns
Dijkstra 50 792900ns;;;;;;Dijkstra 50 1158300ns
Dijkstra 50 1158300ns;;;;;;Dijkstra 50 950800ns
Dijkstra 50 950800ns;;;;;;Dijkstra 50 1019600ns
Dijkstra 50 1019600ns;;;;;;Dijkstra 50 799600ns
Dijkstra 50 799600ns;;;;;;Dijkstra 50 942700ns
Dijkstra 50 942700ns;;;;;;Dijkstra 50 819600ns
Dijkstra 50 819600ns;;;;;;Dijkstra 50 1348000ns
Dijkstra 50 1348000ns;;;;;;Dijkstra 75 1925300ns
Dijkstra 50 784200ns;;;;;;Dijkstra 75 1223400ns
Dijkstra 75 1925300ns;;;;;;Dijkstra 75 1422000ns
Dijkstra 75 1223400ns;;;;;;Dijkstra 75 1410700ns
Dijkstra 75 1422000ns;;;;;;Dijkstra 75 1020900ns
Dijkstra 75 1410700ns;;;;;;Dijkstra 75 1066000ns
Dijkstra 75 1020900ns;;;;;;Dijkstra 75 1033000ns
Dijkstra 75 1066000ns;;;;;;Dijkstra 75 1142300ns
Dijkstra 75 1033000ns;;;;;;Dijkstra 75 1296100ns
Dijkstra 75 1142300ns;;;;;;Dijkstra 75 1192400ns
Dijkstra 75 1296100ns;;;;;;Dijkstra 100 2027100ns
Dijkstra 75 1192400ns;;;;;;Dijkstra 100 1588100ns
Dijkstra 100 2027100ns;;;;;;Dijkstra 100 1353000ns
Dijkstra 100 1588100ns;;;;;;Dijkstra 100 1210800ns
Dijkstra 100 1353000ns;;;;;;Dijkstra 100 1374800ns
Dijkstra 100 1210800ns;;;;;;Dijkstra 100 1435500ns
Dijkstra 100 1374800ns;;;;;;Dijkstra 100 1380800ns
Dijkstra 100 1435500ns;;;;;;Dijkstra 100 1287700ns
Dijkstra 100 1380800ns;;;;;;Dijkstra 100 1313200ns
Dijkstra 100 1287700ns;;;;;;Dijkstra 100 1588300ns
Dijkstra 100 1313200ns;;;;;;Dijkstra 150 10607300ns
Dijkstra 100 1588300ns;;;;;;Dijkstra 150 2002000ns
Dijkstra 150 10607300ns;;;;;;Dijkstra 150 2031300ns
Dijkstra 150 2002000ns;;;;;;Dijkstra 150 1693700ns
Dijkstra 150 2031300ns;;;;;;Dijkstra 150 2000600ns
Dijkstra 150 1693700ns;;;;;;Dijkstra 150 2301600ns
Dijkstra 150 2000600ns;;;;;;Dijkstra 150 2063500ns
Dijkstra 150 2301600ns;;;;;;Dijkstra 150 1785900ns
Dijkstra 150 2063500ns;;;;;;Dijkstra 150 2033500ns
Dijkstra 150 1785900ns;;;;;;Dijkstra 150 1742500ns
Dijkstra 150 2033500ns;;;;;;Dijkstra 200 3725200ns
Dijkstra 150 1742500ns;;;;;;Dijkstra 200 2151300ns
Dijkstra 200 3725200ns;;;;;;Dijkstra 200 2568300ns
Dijkstra 200 2151300ns;;;;;;Dijkstra 200 2161500ns
Dijkstra 200 2568300ns;;;;;;Dijkstra 200 2167600ns
Dijkstra 200 2161500ns;;;;;;Dijkstra 200 4221900ns
Dijkstra 200 2167600ns;;;;;;Dijkstra 200 3693000ns
Dijkstra 200 4221900ns;;;;;;Dijkstra 200 2722500ns
Dijkstra 200 3693000ns;;;;;;Dijkstra 200 4417300ns
Dijkstra 200 2722500ns;;;;;;Dijkstra 200 2165900ns
Dijkstra 200 4417300ns;;;;;;Dijkstra 250 3660800ns
Dijkstra 200 2165900ns;;;;;;Dijkstra 250 2674700ns
Dijkstra 250 3660800ns;;;;;;Dijkstra 250 4608200ns
Dijkstra 250 2674700ns;;;;;;Dijkstra 250 4722300ns
Dijkstra 250 4608200ns;;;;;;Dijkstra 250 2901800ns
Dijkstra 250 4722300ns;;;;;;Dijkstra 250 2659100ns
Dijkstra 250 2901800ns;;;;;;Dijkstra 250 3042400ns
Dijkstra 250 2659100ns;;;;;;Dijkstra 250 4167500ns
Dijkstra 250 3042400ns;;;;;;Dijkstra 250 2624200ns
Dijkstra 250 4167500ns;;;;;;Dijkstra 250 3146600ns
Dijkstra 250 2624200ns;;;;;;Dijkstra 300 4551600ns
Dijkstra 250 3146600ns;;;;;;Dijkstra 300 3586300ns
Dijkstra 300 4551600ns;;;;;;Dijkstra 300 3809900ns
Dijkstra 300 3586300ns;;;;;;Dijkstra 300 3302100ns
Dijkstra 300 3809900ns;;;;;;Dijkstra 300 3159800ns
Dijkstra 300 3302100ns;;;;;;Dijkstra 300 3427900ns
Dijkstra 300 3159800ns;;;;;;Dijkstra 300 3280900ns
